id,classname,methodname,location,start,end
0,StackAr.java,void pop(),84,2205,2211
1,StackAr.java,void pop(),84,2205,2211
2,StackAr.java,void pop(),84,2205,2211
3,StackAr.java,void pop(),84,2205,2211
4,StackAr.java,void pop(),84,2205,2211
5,StackAr.java,void pop(),86,2286,2288
6,StackAr.java,void pop(),86,2286,2288
7,StackAr.java,void pop(),86,2286,2288
8,StackAr.java,void pop(),86,2286,2288
9,StackAr.java,void pop(),86,2286,2288
10,StackAr.java,void pop(),86,2272,2283
11,StackAr.java,void pop(),86,2272,2283
12,StackAr.java,void pop(),86,2272,2283
13,StackAr.java,void pop(),86,2272,2283
14,StackAr.java,void pop(),86,2272,2283
15,StackAr.java,void pop(),86,2262,2269
16,StackAr.java,void pop(),86,2262,2269
17,StackAr.java,void pop(),86,2262,2269
18,StackAr.java,void pop(),86,2262,2269
19,StackAr.java,void pop(),86,2262,2269
20,StackAr.java,void pop(),86,2282,2283
21,StackAr.java,void pop(),86,2282,2283
22,StackAr.java,void pop(),86,2282,2283
23,StackAr.java,void pop(),86,2282,2283
24,StackAr.java,void pop(),86,2282,2283
25,StackAr.java,void pop(),86,2272,2281
26,StackAr.java,void pop(),86,2272,2281
27,StackAr.java,void pop(),86,2272,2281
28,StackAr.java,void pop(),86,2272,2281
29,StackAr.java,void pop(),86,2272,2281
30,StackAr.java,void pop(),86,2289,2292
31,StackAr.java,void pop(),86,2289,2292
32,StackAr.java,void pop(),86,2289,2292
33,StackAr.java,void pop(),86,2289,2292
